plotID,Plot,Province,Location,Latitude,Longitude,Elevation_m,Area,Area_10mm,DrySeasonDeficit_mm,AnnualPPT_mm,Shape,Description,Age
1,bci,Panama,Barro Colorado Island,9.15125,-79.8553,120,50,50,-513.9951,2580.691,1000x500,NULL,
2,sherman,Colon,Fort Sherman,9.28087,-79.9747,140,5.96,5.96,-491.669,2848.181,(140x140)+(100x400),NULL,
3,cocoli,Panama,hillside near Cocoli River,8.98641,-79.618,50,4,4,-577.4791,1910.052,(100x300)+(100x100),Dry forest - currently inaccessible,1
4,Plot 31,Colon,Santa Rita,9.35822,-79.7481,343,1,0.16,-438.475,3226.284,100x100,NULL,3
5,Achotines - p40,Los Santos,Provincia de Los Santos,7.41381,-80.1675,25,0,0,NULL,NULL,40x40,inventory,
6,Achotines - transecto,Los Santos,Provincia de Los Santos,7.42047,-80.1713,25,0,0,NULL,NULL,transect,inventory,
7,Albrook - transecto,Panama,Provincia de PanamÃ¡,8.97686,-79.564,53,0,0,-574.731,1860.044,transect,inventory,
8,Parque Nacional Sarigua - transecto,Herrera,Provincia de Herrera,7.99287,-80.531,25.58,0,0,NULL,NULL,transect,inventory,
9,Altos de Campana - transecto,Panama,Provincia de PanamÃ¡,8.68133,-79.9239,850,0,0,-353.7483,2864.282,transect,inventory,
10,Camino Plantacion - transecto,Panama,Provincia de PanamÃ¡,9.08957,-79.6532,140,0,0,-578.9138,2057.682,transect,inventory,
11,Camino a Patacon - transecto,Panama,Provincia de PanamÃ¡,9.04689,-79.5717,50,0,0,-578.7792,1958.83,transect,inventory,
12,Camino Castillo San Lorenzo - transecto,Colon,Provincia de ColÃ³n,9.33736,-79.9836,67,0,0,-513.0243,2868.313,transect,inventory,
13,Campo Chagres - p40,Panama,Provincia de PanamÃ¡,9.21146,-79.5998,109.8,0,0,-570.771,2481.24,40x40,inventory,
14,Cerro Azul - Finca Coba - transecto,Panama,Provincia de PanamÃ¡,9.20758,-79.3702,597,0,0,-405.2304,3088.447,transect,inventory,
15,Cerro Azul - Finca Coba - p40.1,Panama,Provincia de PanamÃ¡,9.20313,-79.3622,515.1,0,0,-426.0187,3104.199,40x40,inventory,
16,Cerro Azul - Finca Coba - p40.2,Panama,Provincia de PanamÃ¡,9.20958,-79.3713,643.9,0,0,-391.931,3084.223,40x40,inventory,
17,Cerro Guacamaya - transecto,Cocle,Provincia de CoclÃ©,8.51601,-80.4372,271.63,0,0,NULL,NULL,transect,inventory,
18,Cerro Jefe - transecto,Panama,Provincia de PanamÃ¡,9.24431,-79.4499,887.82,0,0,-370.0908,2864.686,transect,inventory,
19,Cerro Minon - p1ha,Panama,Provincia de PanamÃ¡,8.93995,-79.6097,120,0,0,-574.1535,1826.327,100x100,inventory,
20,Cerro Minon - transecto,Panama,Provincia de PanamÃ¡,8.94091,-79.6078,120,0,0,-574.1385,1826.799,transect,inventory,
21,Cerro Patacon - p40,Panama,Provincia de PanamÃ¡,9.01382,-79.596,40,0,0,-578.1871,1932.154,40x40,inventory,
22,Cerro Pelado - Gamboa - p40,Colon,Provincia de ColÃ³n,9.12134,-79.7067,80,0,0,-572.1415,2156.898,40x40,inventory,
23,Cerro Pelado - Gamboa - p1ha,Colon,Provincia de ColÃ³n,9.12099,-79.6973,120,0,0,-572.9453,2152.519,100x100,inventory,
24,Cerro Pelado - Gamboa - transecto.1,Colon,Provincia de ColÃ³n,9.1266,-79.7048,160,0,0,-569.9937,2173.22,transect,inventory,
25,Cerro Pelado - Gamboa - transecto.2,Colon,Provincia de ColÃ³n,9.12596,-79.7076,100,0,0,-570.7448,2172.133,transect,inventory,
26,Cerro Zuela - transecto,Cocle,Provincia de CoclÃƒÂ©,8.35582,-80.4659,102.23,0,0,NULL,NULL,transect,inventory,
27,Chagrecito - p40.1,Panama,Provincia de PanamÃ¡,9.3559,-79.3215,413,0,0,-232.955,4025.891,40x40,inventory,
28,Chagrecito - p40.2,Panama,Provincia de PanamÃ¡,9.36099,-79.3209,309,0,0,-241.1585,4085.732,40x40,inventory,
29,Chagrecito - transecto,Panama,Provincia de PanamÃ¡,9.35845,-79.3212,300,0,0,-246.9888,4055.652,transect,inventory,
30,Chagres - Chilibre - p1ha,Panama,Provincia de PanamÃ¡,9.21255,-79.5979,85,0,0,-571.2891,2485.011,100x100,inventory,
31,Chagres - Chilibre - transecto,Panama,Provincia de PanamÃ¡,9.21113,-79.597,100,0,0,-571.2084,2486.613,transect,inventory,
32,Futuro Forestal - transecto,Chiriqui,Provincia de ChiriquÃ­Â­,8.20225,-81.9063,21,0,0,NULL,NULL,transect,inventory,
33,Clayton - transecto,Panama,Provincia de PanamÃ¡,9.00354,-79.5662,35,0,0,-576.4835,1901.055,transect,inventory,
34,Desembocadura Rio Chagres - transecto,Colon,Provincia de ColÃ³n,9.31925,-79.9986,41,0,0,-504.1827,2866.251,transect,inventory,
35,Esperanza - transecto,Panama,Provincia de PanamÃ¡,9.37571,-79.3579,260,0,0,-245.5707,4147.352,transect,inventory,
36,Esperanza - p40.1,Panama,Provincia de PanamÃ¡,9.37499,-79.3559,306,0,0,-237.197,4147.062,40x40,inventory,
37,Esperanza - p40.2,Panama,Provincia de PanamÃ¡,9.37642,-79.3598,286,0,0,-240.8835,4147.978,40x40,inventory,
38,Finca - Batipa - transecto,Chiriqui,Provincia de ChiriquÃƒÂ­,8.35778,-82.2421,25.7,0,0,NULL,NULL,transect,inventory,
39,Fuerte San Lorenzo - p40.1,Colon,Provincia de ColÃ³n,9.32393,-79.9966,25,0,0,-506.3842,2867.208,40x40,inventory,
40,Fuerte San Lorenzo - p40.2,Colon,Provincia de ColÃ³n,9.3372,-79.9851,72,0,0,-512.8139,2868.447,40x40,inventory,
41,Sherman - Area de Manglar - transecto,Colon,Provincia de ColÃ³n,9.34253,-79.9513,9,0,0,-517.9086,2865.562,transect,inventory,
